Año,sector_economico_1,sector_economico_2,ta,asegurados
31/01/2022,0,5,45,
28/02/2022,0,5,45,
31/03/2022,0,5,45,
30/04/2022,0,5,44,
31/05/2022,0,5,46,
30/06/2022,0,5,44,
31/07/2022,0,5,46,
31/08/2022,0,5,47,
30/09/2022,0,5,48,
31/10/2022,0,5,48,
30/11/2022,0,5,47,
31/12/2022,0,5,47,
31/01/2023,0,5,47,47
28/02/2023,0,5,48,48
31/03/2023,0,5,47,47
30/04/2023,0,5,49,49
31/05/2023,0,5,48,48
30/06/2023,0,5,48,48
31/07/2023,0,5,49,49
31/08/2023,0,5,49,49
30/09/2023,0,5,48,48
31/10/2023,0,5,50,50
30/11/2023,0,5,50,50
31/12/2023,0,5,50,50
31/01/2024,0,5,50,50
29/02/2024,0,5,51,51
31/03/2024,0,5,50,50
30/04/2024,0,5,50,50
31/05/2024,0,5,53,53
30/06/2024,0,5,56,56
31/07/2024,0,5,57,57
31/08/2024,0,5,58,58
30/09/2024,0,5,59,59
31/10/2024,0,5,60,60
30/11/2024,0,5,59,59
31/12/2024,0,5,57,57
31/01/2025,0,5,60,60
28/02/2025,0,5,60,60
